% Model:              Mk. 4.2.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jun 29 2026, 11:30
% Dimension:          1
% Nodes:              162
% Expressions:        1
% Description:        Line graph
% Arc length (m)          Magnetic flux density norm
0                         0.01617309632300382
3.938015869973943E-6      0.016177580113032886
3.418688641138798E-4      0.01655902776167258
4.608012548210638E-4      0.016693429432770943
4.8182771556418147E-4     0.016717190760062492
9.763270886295888E-4      0.017279797302976494
0.0012117881269656655     0.017545572335569214
0.0016591313921433468     0.018050507978947434
0.001672162490938503      0.018065314414441983
0.0016908838207082902     0.018086740133938333
0.0019487161613892037     0.01838399047234925
0.0019727272680936103     0.018411420231940374
0.0022177968300332446     0.018691382303237733
0.0023995213387494677     0.01889908117857903
0.0028624972663128315     0.01942823148496487
0.0029211052341488117     0.019495606952817515
0.0031825912227076633     0.01979375458814945
0.00348448893956544       0.02013896575507537
0.0036780061402629655     0.019990898487909935
0.003971365950709259      0.019866605257850552
0.004948520486537211      0.020685220019983772
0.004995050673767293      0.020724200853367594
0.0052463342688414405     0.020935100101176638
0.005277735539971268      0.0212722925377499
0.005284606392099878      0.021593176210449358
0.005293704294649662      0.0214388449958114
0.005300276155333447      0.021264803428125652
0.005305705753165635      0.021519302608169984
0.005326337766640113      0.021767805802584927
0.005998945453641366      0.021406186887600362
0.006560693860231705      0.021105148516405353
0.006652183636128739      0.021055586293416445
0.006683393030443324      0.02103862006365391
0.006704636709210551      0.02102707145327932
0.0067435567344864        0.02100598160158005
0.006760301784595149      0.02099690785044583
0.006876986226496552      0.02151749081341551
0.007798391132401376      0.02105760171545107
0.00797523405992951       0.020857009161641873
0.00817003977991404       0.020633020289660586
0.008238088980027147      0.020555316693063905
0.008383498941293768      0.020389276872571964
0.009017548266115782      0.019678751186696607
0.009169264332588328      0.019508210124130378
0.009716773371645712      0.018883847361698815
0.009733742886116642      0.018864663904216004
0.009890011656090977      0.018688007388213176
0.010236705399830195      0.018304258762673914
0.010363294605247146      0.01816363069072504
0.011217483998930744      0.017200194139606304
0.011263506963377398      0.01714828503552866
0.011396524370888193      0.016999897401191476
0.011455862533544615      0.016613882916075032
0.011619092814269032      0.01600901502348591
0.01180935498933803       0.015673048699388972
0.012119846165045807      0.01512478113685716
0.012210489729051505      0.014964383223128352
0.012394938329209418      0.014637993026758002
0.012400515411111         0.014628234284794898
0.012401312873054779      0.014626835957447834
0.012404755513559615      0.014620844067842986
0.012811054963455117      0.013913682966686441
0.013345168288677392      0.012981976734986751
0.013463503497593697      0.012775084431301095
0.013481040819130943      0.01243338317361685
0.013500000000000005      0.01176928282404843
0.013569233616925067      0.011113890598759097
0.013616306556377779      0.010822455333581551
0.013761544549106067      0.010629544826477565
0.013914785275801443      0.010426004790289552
0.014240134065679581      0.009912134296356038
0.014294480083680436      0.00982841037209149
0.014325319066762987      0.009789165503158713
0.014372623121113634      0.00971805347833106
0.014415793718433823      0.0096600213937091
0.014604476048410073      0.009413711660732758
0.014735852857724524      0.009240587708472952
0.014739169515497676      0.00923526505356751
0.014972653610983114      0.008722659778266011
0.014978302881084454      0.00857553083835504
0.01499389219737439       0.008550074887975979
0.015018109300528826      0.008509626385267277
0.015030198532791555      0.008489235312042745
0.015230422870272889      0.008151514186483457
0.015256163402117759      0.008109676818076544
0.015275627628106803      0.008077023619174008
0.015442872751743136      0.007808131589686965
0.01546493868668225       0.007772654596999214
0.015518434606861128      0.007685414621960896
0.015579432838732393      0.007583325193656794
0.015736220531496856      0.007350728356206962
0.015831447845325634      0.007198973418918017
0.015947357115330324      0.006981913491076007
0.01619844166140859       0.006493529701323551
0.016261354249900196      0.006368308354315508
0.016392337716764113      0.006114306448704885
0.01639287810409701       0.006167962323857639
0.0165142834274548        0.006088309599187687
0.016514462662974967      0.006088111243308545
0.016522905259772708      0.006079195642275865
0.016586946594483093      0.006009260229101142
0.016598652087799537      0.0059965910837377
0.016599344915452452      0.005995857183962618
0.016600070185808828      0.005995064906690063
0.016668506271987724      0.005920306087133915
0.016804426071502065      0.005773059648199797
0.016817298300937186      0.00575943826780535
0.016951811568862052      0.005612280921682995
0.01698930658888434       0.005569705050617968
0.016999911875925144      0.005542828649391299
0.01701204322388758       0.0055130745282547695
0.017017643060575863      0.005506134252521091
0.017038599343311006      0.005480689568658769
0.01706822244147896       0.005480392152284202
0.01730570314973047       0.005264541400043829
0.017328478772889427      0.005240098944701376
0.017462128024242733      0.005097798972442743
0.017533861686678948      0.0050214222021180204
0.01756447788159826       0.004989125771178238
0.017614735290965383      0.0049358177304444535
0.017632027571105977      0.0049172016065988184
0.01773843089414409       0.004803632425744527
0.017807609621220917      0.0047321985211946
0.017923767432200303      0.004566566373851333
0.017942937581348857      0.004487803523317832
0.017961122612486898      0.004455079867294701
0.017994057440929252      0.004433757879927634
0.018090311223117217      0.0043756203501997696
0.01813450380774799       0.004346736035688075
0.018184780026398915      0.004313875452309556
0.018234776232671612      0.004281201872804976
0.01825014580568582       0.004271992849572047
0.0182603862060277        0.004265403626111239
0.01826422356314074       0.004263095899223317
0.01835211801879634       0.004210237540556028
0.018409980388254414      0.0041754813950555
0.018447071069682644      0.004151410219389223
0.01852671497112615       0.004099690552661517
0.018569814970823013      0.00407375677261681
0.018634502734009732      0.004016746661889247
0.01863543665953529       0.004001306818764733
0.018685523953377012      0.003954072079601061
0.01870006629116945       0.003940278358434567
0.01874419643856944       0.003898419961458791
0.018748775831394497      0.0038941006332036373
0.018750481828908396      0.0038924640510392683
0.018864291250728027      0.003783285421897491
0.018865775579455492      0.0037818516035581814
0.01890297715006413       0.0037459159693534524
0.018940740133911102      0.0037291946095320576
0.01900040993801975       0.0037175514824068995
0.01906846291714318       0.0036830593707524975
0.019073578576626823      0.0036804665393971557
0.019257378956802247      0.0035864874180032156
0.019270134906039616      0.0035798343993501095
0.019289956403218175      0.0035694962592393697
0.01938420665122848       0.003520688040916833
0.01946285110289744       0.0034749691306942177
0.019642247079065308      0.003362950192969584
0.019824374991173403      0.0032555630492136665
0.019835651843269984      0.0032488538552876253
0.020000000000000004      0.0031505515163377743
