% Model:              Oopsie.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 1 2024, 20:13
% Dimension:          1
% Nodes:              73
% Expressions:        1
% Description:        Line graph
% Arc length (m)          sqrt((mf.By)^2+(mf.Bx)^2)
0                         15.642003672220898
1.0474586542479764E-4     15.751498970472522
3.093903196975875E-4      15.965441139235603
9.603483518464059E-4      16.646128523274616
0.0010847504200330732     16.77623710167242
0.0023082292357596637     18.21915483058597
0.002534989115474992      18.587973897868782
0.003524999656788569      20.20019658188687
0.0035721832190728844     19.675509299436833
0.003694025523148993      19.79508688653546
0.004056654872195614      20.150985072761678
0.004275505806730771      20.36578006344106
0.0052568510094479146     21.328992970773392
0.005562199246765515      21.62871635188635
0.005643014107251723      21.708043783294865
0.0060867780003903        22.290025112509305
0.0061766906828680315     22.421266496727373
0.006186976063837515      22.436280795657947
0.006749740035121632      23.258148301456067
0.006773907787406316      23.29345847532544
0.007138866278311576      23.82682338097011
0.007633560227438996      23.944417984330524
0.007931847660017394      23.68932277276274
0.008036725607829025      23.59963265426542
0.008079654863522377      23.56292038815166
0.008579079647413904      23.135831552041157
0.009421458935854395      22.4155031661355
0.009479419503042222      22.365942446439767
0.009985768697504331      21.932986922494642
0.010019293016516224      21.904322608148608
0.010031195345447087      21.894145777513344
0.01061966308343          18.901165626175914
0.010911641065513913      18.20430896068764
0.010947784322146215      19.914465463019205
0.011544759762018478      18.359659645869666
0.011628026111950754      18.14291625515111
0.01201666945362416       17.131729852033764
0.012479051697229938      15.929817645218801
0.012698296463101527      15.360422016887762
0.012741767764018613      15.470089345655335
0.012772337604004105      14.8820794356676
0.013312012017646181      13.689570076522054
0.013923694949299889      12.338039090766625
0.014016858507862842      12.132202328760316
0.01402401394451741       12.116393148484914
0.01442117437602141       11.227533905288066
0.014843372884128694      10.283182593746492
0.014955501420400433      10.032404622337348
0.014968131829120192      10.004157175830418
0.015291340293155084      9.281370081778599
0.01593548072882528       7.8413039544735685
0.016313979516603308      6.995487521796189
0.01636242162543941       6.887262520991305
0.016466988199987126      6.653673616545471
0.016565940425597322      6.432659779530281
0.01659420739542082       6.369530777715513
0.01660343828785374       7.110296041309859
0.016645261774905967      7.065372648451024
0.017976250865569733      4.938990784946568
0.018076726218326733      5.088784815588354
0.018119327373333577      5.06183108905287
0.018171842713533767      4.8941813504994665
0.018223033426975364      4.850284456298419
0.018275513685909656      4.805282055539995
0.018870031767127978      4.295500435132171
0.019008619181377077      4.1766732580309895
0.01904274092368192       4.1474172016187465
0.019502616795940435      3.7531406244496
0.0196397551592042        3.635573561857462
0.01979111584543216       3.5058196209511134
0.01986244842038848       3.444672052549124
0.019935577934561577      3.3819857440529564
0.020000000000000004      3.3267648631338766
