% Model:              MK4-2.mph
% Version:            COMSOL 6.2.0.658
% Date:               Aug 3 2025, 18:38
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        Line graph
% Arc length (m)          sqrt((mf.By)^2+(mf.Bx)^2)
0                         15.01501192431506
6.189128391971555E-5      15.074032011052894
6.530086699401555E-5      15.077283420234297
1.1279315320870953E-4     15.123169904246254
1.3338003486350336E-4     15.142701285816532
0.0013908873899213178     16.358629448856075
0.0015358780864928659     16.572597327260908
0.002049619287530377      17.08026876064774
0.002054966066474373      17.08477929625922
0.002885921452021857      17.78577215519852
0.003305983566467406      18.140570709626633
0.003429090455325641      18.24457632801777
0.003979128302299677      18.50744941830047
0.004534717168037036      19.31882631567915
0.005040275246572266      19.82473769155211
0.005228545096664747      19.800268322551553
0.005521342433507395      19.76221355130665
0.005615843159363074      19.74977541842253
0.005832102578909988      19.71804429416903
0.00585372447134315       19.71491041887322
0.0064304072801072976     19.631326060404632
0.0064304072801072976     19.607906981231558
0.006664795867589189      19.636261130093025
0.006815847536283337      19.65507992712125
0.0071351956376668885     19.694865962940916
0.007144928691256977      19.696168332884444
0.007434614922403632      19.73502218097195
0.0075104144659196015     19.745448670385763
0.007746034934250627      19.777203263512295
0.008470969650121465      19.87490278473316
0.009298268612986611      19.986657889302755
0.009732835651076792      19.503259342936527
0.009814022840727646      18.323278756291995
0.009876924706121483      18.08721187643027
0.010592942312407788      17.18687199858574
0.010833706681921115      16.66260625892324
0.010971363715155148      16.33011856228835
0.011296837204426799      15.686783014545169
0.011633323472297855      15.052381521089352
0.011735156249999996      14.860238808991593
0.011840125499754064      14.662233678548935
0.01217025928852513       14.04058949781735
0.012284083406242104      13.826257906164573
0.012617578124999994      13.196887366895673
0.013301483606336359      11.906783966594649
0.013371800533430109      11.774233740962124
0.013499999999999998      11.157920078999503
0.013864091589987013      10.171492944608566
0.014011532476426725      9.923649387574962
0.01402857359984555       9.89499327486501
0.014056851220583984      9.847443267181777
0.01432318176937454       9.399762973511937
0.014523064952853458      9.063775372067568
0.014599228672955072      8.80666882577763
0.014826352968887027      8.309535188651548
0.015037175449195944      7.968056540993435
0.015144844246799335      7.793591134820213
0.015172202562863883      7.7492600023968805
0.015380259852689912      7.41234794845359
0.015567946290436611      7.108405434462343
0.015621342465364209      7.021883176550702
0.015745176452772673      6.821224679733083
0.015825428604846495      6.691314379144101
0.016098717131677272      6.2486551131710195
0.016297925182900005      6.049879651444323
0.01631026906004293       6.159348066387401
0.0165559764726598        5.968295992245926
0.0165559764726598        5.863893724068425
0.01657027387051059       5.955764102177074
0.016665545638624032      5.872239008076057
0.01669623068636683       5.648885796787777
0.01670403155650857       5.444787187103821
0.01693461927564044       5.218298140402529
0.01711303836370985       4.917325565747451
0.017113038363709865      5.0430127426730635
0.017279097337230806      4.776524350552543
0.017392839305508556      4.680082664730926
0.01739990527092125       4.674103632496995
0.017406087807766375      4.668867264312126
0.017520380207233052      4.572116954464242
0.017698475478180112      4.4213565125890515
0.01796744979655164       4.197756247954011
0.018008194473247058      4.158325862540304
0.018029098708465197      4.136034788813605
0.018098114197810836      4.062495204667053
0.018244945795315617      3.9058212333467592
0.018442637451875264      3.6946733330936152
0.01850673455741508       3.648630701399722
0.018552421204904572      3.643590180700599
0.01875823910897608       3.519941231473859
0.018909502163495726      3.4291039443087232
0.01900345675623605       3.3726818368196225
0.019081189011618347      3.325962857424897
0.01927147250973646       3.237191178327005
0.01961197600483185       3.0815216194580906
0.019670726481811306      3.017452311549467
0.019670726481811306      3.050338928416033
0.01969491585577518       3.004438169024195
0.01970460762760689       2.9992363115136964
0.019876629563145166      2.9069071055760207
0.020000000000000004      2.840668963495368
